Nome,Último,Máxima,Mínima,Variação,Var. %,Hora
Ibovespa,123.866,124.048,122.969,+359,"+0,29%",16:58:59
IBrX 50,"20.934,78","20.960,80","20.783,17","+67,29","+0,32%",16:58:59
Dow Jones,"41.350,81","41.721,36","41.010,24","-82,67","-0,20%",17:00:08
S&P 500,"5.599,15","5.642,19","5.546,09","+27,08","+0,49%",17:00:08
Nasdaq,"17.648,45","17.800,10","17.436,27","+212,36","+1,22%",17:00:08
Russell 2000,"2.025,47","2.051,60","2.010,90","+1,88","+0,09%",02:00:00
S&P 500 VIX,"24,23","26,91","23,89","-2,69","-9,99%",17:15:01
S&P/TSX,"24.423,34","24.516,28","24.227,81","+175,14","+0,72%",17:01:16
S&P/BMV IPC,"52.041,01","52.122,22","51.305,14","+530,33","+1,03%",17:25:55
DAX,"22.667,76","22.813,84","22.461,77","+338,99","+1,52%",13:38:58
