Nome,Último,Máxima,Mínima,Variação,Var. %,Hora
Ibovespa,123.779,124.048,123.277,+271,"+0,22%",13:23:00
IBrX 50,"20.922,29","20.958,62","20.831,26","+54,80","+0,26%",13:22:30
Dow Jones,"41.450,84","41.721,36","41.010,24","+17,36","+0,04%",13:38:07
S&P 500,"5.619,35","5.642,19","5.544,96","+47,40","+0,85%",13:37:46
Nasdaq,"17.732,07","17.800,10","17.436,27","+295,97","+1,70%",13:37:14
Russell 2000,"2.030,32","2.051,60","2.010,90","+6,73","+0,33%",13:38:25
S&P 500 VIX,"24,56","26,91","24,55","-2,36","-8,77%",13:37:16
S&P/TSX,"24.424,68","24.429,10","24.227,81","+176,48","+0,73%",13:38:16
S&P/BMV IPC,"51.641,29","51.889,82","51.305,14","+130,61","+0,25%",13:38:23
DAX,"22.679,43","22.815,24","22.463,40","+362,57","+1,62%",13:37:57
